# Matter power spectrum P(k) at redshift z=0
# for k=9.57145e-06 to 0.575881 h/Mpc,
# number of wavenumbers equal to 560
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.571449292006e-06       7.459540939698e+01 
       2.156634802172e-05       1.636300563848e+02 
       3.359746617550e-05       2.512056609883e+02 
       4.569286461083e-05       3.381815354858e+02 
       5.788100429579e-05       4.250399979841e+02 
       7.019096648519e-05       5.121386797604e+02 
       8.265267900484e-05       5.997805583089e+02 
       9.529715128215e-05       6.882422747560e+02 
       1.081567207829e-04       7.777884690578e+02 
       1.212653135394e-04       8.686802458482e+02 
       1.346587214733e-04       9.611808866411e+02 
       1.483748992105e-04       1.055560151974e+03 
       1.624542830311e-04       1.152097839889e+03 
       1.769401344704e-04       1.251086928871e+03 
       1.918789108372e-04       1.352836525079e+03 
       2.073206645025e-04       1.457674718200e+03 
       2.233194721553e-04       1.565951407190e+03 
       2.399338942398e-04       1.678041150355e+03 
       2.572274633681e-04       1.794346011105e+03 
       2.752691985031e-04       1.915298421451e+03 
       2.941341389682e-04       2.041363981348e+03 
       3.139038886671e-04       2.173044150399e+03 
       3.346671560951e-04       2.310878691777e+03 
       3.565202695801e-04       2.455447741937e+03 
       3.795676395597e-04       2.607373276501e+03 
       4.039221305098e-04       2.767319723347e+03 
       4.297052945257e-04       2.935993397922e+03 
       4.570474069446e-04       3.114140364001e+03 
       4.860872327009e-04       3.302542258727e+03 
       5.169714418395e-04       3.502009607017e+03 
       5.498535861151e-04       3.713372105178e+03 
       5.848925490162e-04       3.937465400203e+03 
       6.222503927208e-04       4.175114073094e+03 
       6.620895514602e-04       4.427110599616e+03 
       7.045693648326e-04       4.694190593307e+03 
       7.498420078934e-04       4.977004888864e+03 
       7.980479546357e-04       5.276089697529e+03 
       8.493111996838e-04       5.591836494751e+03 
       9.037345458380e-04       5.924463940406e+03 
       9.613953244053e-04       6.273994267354e+03 
       1.022341932446e-03       6.640236711436e+03 
       1.086591532774e-03       7.022780202946e+03 
       1.154129166285e-03       7.420996342595e+03 
       1.224908383643e-03       7.834053475286e+03 
       1.298853338983e-03       8.260892164565e+03 
       1.375862133323e-03       8.700393906121e+03 
       1.455811078400e-03       9.151286226793e+03 
       1.538559491236e-03       9.612219592273e+03 
       1.623954629342e-03       1.008180509085e+04 
       1.711836426522e-03       1.055864815440e+04 
       1.802041771423e-03       1.104137770481e+04 
       1.894408165114e-03       1.152866953135e+04 
       1.988776682994e-03       1.201926523391e+04 
       2.084994239261e-03       1.251198490767e+04 
       2.182915204197e-03       1.300573510127e+04 
       2.282402455948e-03       1.349951272094e+04 
       2.383327962540e-03       1.399240676945e+04 
       2.485572991123e-03       1.448359176135e+04 
       2.589028034377e-03       1.497233306138e+04 
       2.693592532473e-03       1.545797537946e+04 
       2.799174455640e-03       1.593993796061e+04 
       2.905689799294e-03       1.641770904318e+04 
       3.013062031655e-03       1.689084032652e+04 
       3.121221523590e-03       1.735894336355e+04 
       3.230104981944e-03       1.782167768196e+04 
       3.339654900982e-03       1.827875211680e+04 
       3.449819041395e-03       1.872991446107e+04 
       3.560549942485e-03       1.917495161241e+04 
       3.671804470317e-03       1.961368120978e+04 
       3.783543402657e-03       2.004595571331e+04 
       3.895731050109e-03       2.047164596109e+04 
       4.008334912015e-03       2.089065679311e+04 
       4.121325365094e-03       2.130290208002e+04 
       4.234675382517e-03       2.170832419738e+04 
       4.348360280985e-03       2.210683868972e+04 
       4.462357493365e-03       2.249837264954e+04 
       4.576646364524e-03       2.288310989441e+04 
       4.691207968109e-03       2.326089879249e+04 
       4.806024942177e-03       2.363172073771e+04 
       4.921081341761e-03       2.399584890306e+04 
       5.036362506580e-03       2.435306216426e+04 
       5.151854942326e-03       2.470342973820e+04 
       5.267546214059e-03       2.504690843242e+04 
       5.383424850428e-03       2.538261121332e+04 
       5.499480257555e-03       2.571251497596e+04 
       5.615702641542e-03       2.603547553961e+04 
       5.732082938682e-03       2.635211928467e+04 
       5.848612752542e-03       2.666204609428e+04 
       5.965284297194e-03       2.696561528284e+04 
       6.082090345943e-03       2.726253131849e+04 
       6.199024184961e-03       2.755319133923e+04 
       6.316079571326e-03       2.783834866730e+04 
       6.433250695003e-03       2.811647036510e+04 
       6.550532144361e-03       2.838863101533e+04 
       6.667918874853e-03       2.865441159528e+04 
       6.785406180565e-03       2.891415480066e+04 
       6.902989668311e-03       2.916810858651e+04 
       7.020665234047e-03       2.941557307164e+04 
       7.138429041359e-03       2.965738361729e+04 
       7.256277501832e-03       2.989343153516e+04 
       7.374207257112e-03       3.012342107286e+04 
       7.492215162494e-03       3.034941302052e+04 
       7.610298271906e-03       3.056843462025e+04 
       7.728453824138e-03       3.078189165359e+04 
