# Matter power spectrum P(k) at redshift z=0
# for k=9.68264e-06 to 0.582155 h/Mpc,
# number of wavenumbers equal to 561
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.682643854130e-06       7.211594324269e+01 
       2.173406598338e-05       1.576104306254e+02 
       3.382237587916e-05       2.417131743628e+02 
       4.597603506561e-05       3.252475229366e+02 
       5.822391588919e-05       4.086775487223e+02 
       7.059552698064e-05       4.923482712388e+02 
       8.312124504240e-05       5.765525144374e+02 
       9.583255568756e-05       6.615580578624e+02 
       1.087623060780e-04       7.476213741490e+02 
       1.219449721361e-04       8.349957770900e+02 
       1.354169431218e-04       9.239369433953e+02 
       1.492168263584e-04       1.014707076809e+03 
       1.633857748334e-04       1.107578368448e+03 
       1.779678402584e-04       1.202836067881e+03 
       1.930103539118e-04       1.300781365860e+03 
       2.085643371405e-04       1.401734193125e+03 
       2.246849427000e-04       1.506036006351e+03 
       2.414319270666e-04       1.614052582662e+03 
       2.588701523418e-04       1.726176834626e+03 
       2.770701142434e-04       1.842831623927e+03 
       2.961084897666e-04       1.964472520811e+03 
       3.160686941963e-04       2.091590453724e+03 
       3.370414320534e-04       2.224714107264e+03 
       3.591252200484e-04       2.364411938022e+03 
       3.824268520379e-04       2.511293581453e+03 
       4.070617662929e-04       2.666010397589e+03 
       4.331542642330e-04       2.829254831066e+03 
       4.608375176863e-04       3.001758159612e+03 
       4.902532896796e-04       3.184286220372e+03 
       5.215512834655e-04       3.377632586430e+03 
       5.548880284716e-04       3.582608723889e+03 
       5.904252135191e-04       3.800030632194e+03 
       6.283273910951e-04       4.030701734361e+03 
       6.687590058524e-04       4.275391789715e+03 
       7.118807490892e-04       4.534812213552e+03 
       7.578453094218e-04       4.809588429571e+03 
       8.067926746048e-04       5.100230482665e+03 
       8.588452310903e-04       5.407103727423e+03 
       9.141029911262e-04       5.730401806762e+03 
       9.726393326135e-04       6.070124437066e+03 
       1.034497645612e-03       6.426062432610e+03 
       1.099689228887e-03       6.797792039505e+03 
       1.168192670120e-03       7.184679589258e+03 
       1.239954789223e-03       7.585896735988e+03 
       1.314893053171e-03       8.000412681823e+03 
       1.392899215634e-03       8.427102352372e+03 
       1.473843824063e-03       8.864738306666e+03 
       1.557581187013e-03       9.312010513456e+03 
       1.643954406147e-03       9.767576910540e+03 
       1.732800138055e-03       1.023009475957e+04 
       1.823952840578e-03       1.069824841121e+04 
       1.917248356127e-03       1.117077062296e+04 
       2.012526773754e-03       1.164646031317e+04 
       2.109634582587e-03       1.212419345205e+04 
       2.208426178023e-03       1.260293022752e+04 
       2.308764809976e-03       1.308171805952e+04 
       2.410523073372e-03       1.355969052933e+04 
       2.513583039837e-03       1.403607134511e+04 
       2.617836120705e-03       1.451015857515e+04 
       2.723182738765e-03       1.498133438832e+04 
       2.829531872294e-03       1.544904597089e+04 
       2.936800521503e-03       1.591280968090e+04 
       3.044913135574e-03       1.637220274462e+04 
       3.153801028358e-03       1.682685275646e+04 
       3.263401802582e-03       1.727643916901e+04 
       3.373658795975e-03       1.772068360624e+04 
       3.484520557790e-03       1.815934662234e+04 
       3.595940360553e-03       1.859222394159e+04 
       3.707875749229e-03       1.901914508009e+04 
       3.820288128133e-03       1.943996325904e+04 
       3.933142384683e-03       1.985455598744e+04 
       4.046406548265e-03       2.026283175916e+04 
       4.160051482015e-03       2.066470544884e+04 
       4.274050605087e-03       2.106012107059e+04 
       4.388379642858e-03       2.144901430207e+04 
       4.503016402583e-03       2.183126947841e+04 
       4.617940572095e-03       2.220709728523e+04 
       4.733133539271e-03       2.257633387825e+04 
       4.848578230167e-03       2.293894825467e+04 
       4.964258963889e-03       2.329522176261e+04 
       5.080161322436e-03       2.364493300110e+04 
       5.196272033931e-03       2.398814094827e+04 
       5.312578867793e-03       2.432481335808e+04 
       5.429070540579e-03       2.465411713221e+04 
       5.545736631341e-03       2.497789603733e+04 
       5.662567505471e-03       2.529502044942e+04 
       5.779554246124e-03       2.560608208915e+04 
       5.896688592400e-03       2.591094037551e+04 
       6.013962883577e-03       2.620963925341e+04 
       6.131370008738e-03       2.650205414882e+04 
       6.248903361224e-03       2.678823325800e+04 
       6.366556797418e-03       2.706943688759e+04 
       6.484324599396e-03       2.734390008449e+04 
       6.602201441051e-03       2.761237930089e+04 
       6.720182357338e-03       2.787550031430e+04 
       6.838262716309e-03       2.813229400253e+04 
       6.956438193680e-03       2.838368590617e+04 
       7.074704749650e-03       2.862892869606e+04 
       7.193058607770e-03       2.886887901321e+04 
       7.311496235656e-03       2.910300883050e+04 
       7.430014327363e-03       2.933173902313e+04 
       7.548609787259e-03       2.955511479795e+04 
       7.667279715270e-03       2.977421690356e+04 
       7.786021393347e-03       2.998686757003e+04 
       7.904832273060e-03       3.019435834749e+04 
       8.023709964203e-03       3.039663644492e+04 
       8.142652224321e-03       3.059385926679e+04 
       8.261656949078e-03       3.078598136584e+04 
       8.380722163388e-03       3.097165743314e+04 
       8.499846013246e-03       3.115514523203e+04 
       8.619026758187e-03       3.133239324956e+04 
       8.738262764338e-03       3.150478190128e+04 
       8.857552497987e-03       3.167136249029e+04 
       8.976894519650e-03       3.183553274911e+04 
       9.096287478576e-03       3.199387656347e+04 
       9.215730107661e-03       3.214763366431e+04 
       9.335221218744e-03       3.229688216061e+04 
       9.454759698238e-03       3.244165605601e+04 
       9.574344503082e-03       3.258086515147e+04 
       9.693974656984e-03       3.271799630855e+04 
       9.813649246939e-03       3.284960808168e+04 
       9.933367419980e-03       3.297703888143e+04 
       1.005312838017e-02       3.309904624024e+04 
       1.017293138582e-02       3.321926422212e+04 
       1.029277574684e-02       3.333424395271e+04 
       1.041266082237e-02       3.344389550373e+04 
       1.053258601850e-02       3.355205187669e+04 
       1.065255078614e-02       3.365380697845e+04 
       1.077255461914e-02       3.375427290378e+04 
       1.089259705238e-02       3.384810156757e+04 
       1.101267766014e-02       3.394097179519e+04 
       1.113279605450e-02       3.402837910798e+04 
       1.125295188385e-02       3.411265221078e+04 
       1.137314483154e-02       3.419275495488e+04 
