# Matter power spectrum P(k) at redshift z=0
# for k=9.56569e-06 to 0.575947 h/Mpc,
# number of wavenumbers equal to 563
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.565694446273e-06       7.448609335386e+01 
       2.140762943876e-05       1.623217964128e+02 
       3.328468022488e-05       2.487241746948e+02 
       4.522384558581e-05       3.345295830449e+02 
       5.725250154802e-05       4.202073689276e+02 
       6.939860781660e-05       5.061048147056e+02 
       8.169091981789e-05       5.925154171138e+02 
       9.415920876469e-05       6.797065875027e+02 
       1.068344921766e-04       7.679336066232e+02 
       1.197492773123e-04       8.574478740016e+02 
       1.329378199884e-04       9.485024311939e+02 
       1.464364012575e-04       1.041356109112e+03 
       1.602836243749e-04       1.136276925444e+03 
       1.745207343784e-04       1.233545095668e+03 
       1.891919623963e-04       1.333455800484e+03 
       2.043448964491e-04       1.436321909523e+03 
       2.200308799538e-04       1.542476632732e+03 
       2.363054383065e-04       1.652276211788e+03 
       2.532287327104e-04       1.766102610525e+03 
       2.708660387137e-04       1.884366219687e+03 
       2.892882445928e-04       2.007508537654e+03 
       3.085723615808e-04       2.136004751407e+03 
       3.288020338397e-04       2.270366138161e+03 
       3.500680308135e-04       2.411142157985e+03 
       3.724686980270e-04       2.558922047660e+03 
       3.961103344396e-04       2.714335717465e+03 
       4.211074551674e-04       2.878053626607e+03 
       4.475828880647e-04       3.050785356353e+03 
       4.756676419535e-04       3.233276403413e+03 
       5.055004743972e-04       3.426302837249e+03 
       5.372270796377e-04       3.630663264421e+03 
       5.709988152274e-04       3.847167726802e+03 
       6.069708921995e-04       4.076623142320e+03 
       6.452999719410e-04       4.319815025337e+03 
       6.861411465210e-04       4.577485605703e+03 
       7.296443299892e-04       4.850308787216e+03 
       7.759501551569e-04       5.138862627208e+03 
       8.251855484520e-04       5.443600971603e+03 
       8.774592344025e-04       5.764825838387e+03 
       9.328574863915e-04       6.102662955748e+03 
       9.914404747377e-04       6.457042615430e+03 
