# Matter power spectrum P(k) at redshift z=0
# for k=9.57145e-06 to 0.577206 h/Mpc,
# number of wavenumbers equal to 561
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.571449292006e-06       6.322859423380e+01 
       2.153746895314e-05       1.418141508845e+02 
       3.353950054062e-05       2.204468755728e+02 
       4.560540230718e-05       2.993758087983e+02 
       5.776342823648e-05       3.788129880616e+02 
       7.004244557024e-05       4.589607205377e+02 
       8.247215834682e-05       5.400201064851e+02 
       9.508333954558e-05       6.221952979646e+02 
       1.079080744526e-04       7.056963608097e+02 
       1.209800178885e-04       7.907415689376e+02 
       1.343346679578e-04       8.775595049782e+02 
       1.480096589716e-04       9.663910884985e+02 
       1.620450761485e-04       1.057491655068e+03 
       1.764837945687e-04       1.151133070206e+03 
       1.913718446224e-04       1.247605984343e+03 
       2.067588057869e-04       1.347222181054e+03 
       2.226982299339e-04       1.450317045916e+03 
       2.392480944148e-04       1.557252178754e+03 
       2.564712837943e-04       1.668418083525e+03 
       2.744360971624e-04       1.784236946779e+03 
       2.932167752971e-04       1.905165425267e+03 
       3.128940383891e-04       2.031697387636e+03 
       3.335556203700e-04       2.164366473553e+03 
       3.552967799254e-04       2.303748343947e+03 
       3.782207608488e-04       2.450462412803e+03 
       4.024391654455e-04       2.605172794206e+03 
       4.280721943407e-04       2.768588155941e+03 
       4.552486946829e-04       2.941460106398e+03 
       4.841059472173e-04       3.124579620277e+03 
       5.147891124931e-04       3.318771033202e+03 
       5.474502497805e-04       3.524883104645e+03 
       5.822468221424e-04       3.743776586506e+03 
       6.193396112564e-04       3.976307986306e+03 
       6.588899899762e-04       4.223309270282e+03 
       7.010565425655e-04       4.485563646136e+03 
       7.459910833438e-04       4.763777928761e+03 
       7.938342018064e-04       5.058552678377e+03 
       8.447105486542e-04       5.370351423845e+03 
       8.987241595093e-04       5.699471493963e+03 
       9.559541738802e-04       6.046018719256e+03 
       1.016451327896e-03       6.409888522833e+03 
       1.080235566679e-03       6.790755845946e+03 
       1.147295032481e-03       7.188075293146e+03 
       1.217586548027e-03       7.601092076233e+03 
       1.291037553900e-03       8.028838831822e+03 
       1.367549304454e-03       8.470211788144e+03 
       1.447001007320e-03       8.924003159760e+03 
       1.529254526318e-03       9.388894931437e+03 
       1.614159261505e-03       9.863517475243e+03 
       1.701556864783e-03       1.034648277397e+04 
       1.791285527817e-03       1.083641470821e+04 
       1.883183671017e-03       1.133197408347e+04 
       1.977092950936e-03       1.183187878719e+04 
       2.072860577144e-03       1.233491783449e+04 
       2.170340983134e-03       1.283996134910e+04 
       2.269396928909e-03       1.334596583218e+04 
       2.369900128522e-03       1.385197545508e+04 
       2.471731498347e-03       1.435712264434e+04 
       2.574781115768e-03       1.486062318952e+04 
       2.678947966961e-03       1.536177454022e+04 
       2.784139549538e-03       1.585995090310e+04 
       2.890271382790e-03       1.635459477915e+04 
       2.997266466349e-03       1.684521386538e+04 
       3.105054717765e-03       1.733137525410e+04 
       3.213572410998e-03       1.781269817718e+04 
       3.322761631025e-03       1.828885024393e+04 
       3.432569754536e-03       1.875954206003e+04 
       3.542948962695e-03       1.922452401613e+04 
       3.653855789110e-03       1.968357942467e+04 
       3.765250704030e-03       2.013652763456e+04 
       3.877097734399e-03       2.058320592683e+04 
       3.989364118445e-03       2.102349202155e+04 
       4.102019992897e-03       2.145727025155e+04 
       4.215038110584e-03       2.188445774341e+04 
       4.328393586047e-03       2.230497318395e+04 
       4.442063666752e-03       2.271862141123e+04 
       4.556027527554e-03       2.312569061035e+04 
       4.670266086187e-03       2.352592697018e+04 
       4.784761837697e-03       2.391929757391e+04 
       4.899498705883e-03       2.430608310365e+04 
       5.014461909979e-03       2.468605204773e+04 
       5.129637844989e-03       2.505922535112e+04 
       5.245013974218e-03       2.542557568277e+04 
       5.360578732700e-03       2.578416319729e+04 
       5.476321440360e-03       2.613698206999e+04 
       5.592232223864e-03       2.648284388740e+04 
       5.708301946231e-03       2.682231090303e+04 
       5.824522143380e-03       2.715520937719e+04 
       5.940884966866e-03       2.748163406626e+04 
       6.057383132161e-03       2.780139960756e+04 
       6.174009871884e-03       2.811477605225e+04 
       6.290758893479e-03       2.842254917768e+04 
       6.407624340853e-03       2.872329947873e+04 
       6.524600759597e-03       2.901776671405e+04 
       6.641683065393e-03       2.930637394725e+04 
       6.758866515307e-03       2.958837271239e+04 
       6.876146681666e-03       2.986459543631e+04 
       6.993519428259e-03       3.013418014069e+04 
       7.110980888641e-03       3.039824944389e+04 
       7.228527446332e-03       3.065608421950e+04 
       7.346155716716e-03       3.090806409354e+04 
       7.463862530498e-03       3.115553696477e+04 
       7.581644918549e-03       3.139612588653e+04 
       7.699500098023e-03       3.163093210293e+04 
       7.817425459623e-03       3.186021554577e+04 
       7.935418555906e-03       3.208389638749e+04 
       8.053477090537e-03       3.230209982639e+04 
       8.171598908410e-03       3.251494473612e+04 
       8.289781986548e-03       3.272077910247e+04 
       8.408024425719e-03       3.292428919375e+04 
       8.526324442709e-03       3.312102478696e+04 
       8.644680363184e-03       3.331258925690e+04 
       8.763090615108e-03       3.349915544311e+04 
       8.881553722649e-03       3.368063406931e+04 
       9.000068300548e-03       3.385564722017e+04 
       9.118633048907e-03       3.402834279341e+04 
       9.237246748358e-03       3.419505459608e+04 
       9.355908255592e-03       3.435541695263e+04 
       9.474616499203e-03       3.451359364244e+04 
