# Matter power spectrum P(k) at redshift z=0
# for k=9.57145e-06 to 0.577206 h/Mpc,
# number of wavenumbers equal to 561
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.571449292006e-06       7.459538316676e+01 
       2.153746895314e-05       1.634181078882e+02 
       3.353950054062e-05       2.507864900562e+02 
       4.560540230718e-05       3.375555302134e+02 
       5.776342823648e-05       4.242051088253e+02 
       7.004244557024e-05       5.110909294002e+02 
       8.247215834682e-05       5.985141737694e+02 
       9.508333954558e-05       6.867497363482e+02 
       1.079080744526e-04       7.760604816803e+02 
       1.209800178885e-04       8.667056611082e+02 
       1.343346679578e-04       9.589465997519e+02 
       1.480096589716e-04       1.053050958906e+03 
       1.620450761485e-04       1.149296275433e+03 
       1.764837945687e-04       1.247973057644e+03 
       1.913718446224e-04       1.349387719021e+03 
       2.067588057869e-04       1.453865394845e+03 
       2.226982299339e-04       1.561752730940e+03 
       2.392480944148e-04       1.673420706681e+03 
       2.564712837943e-04       1.789267445936e+03 
       2.744360971624e-04       1.909721045027e+03 
       2.932167752971e-04       2.035242345024e+03 
       3.128940383891e-04       2.166327600074e+03 
       3.335556203700e-04       2.303510905845e+03 
       3.552967799254e-04       2.447366264687e+03 
       3.782207608488e-04       2.598509077842e+03 
       4.024391654455e-04       2.757596798987e+03 
       4.280721943407e-04       2.925328443895e+03 
       4.552486946829e-04       3.102442589229e+03 
       4.841059472173e-04       3.289713373246e+03 
       5.147891124931e-04       3.487944046171e+03 
       5.474502497805e-04       3.697957593826e+03 
       5.822468221424e-04       3.920583900358e+03 
       6.193396112564e-04       4.156643184903e+03 
       6.588899899762e-04       4.406925504992e+03 
       7.010565425655e-04       4.672166524827e+03 
       7.459910833438e-04       4.953020108782e+03 
       7.938342018064e-04       5.250028987566e+03 
       8.447105486542e-04       5.563594834543e+03 
       8.987241595093e-04       5.893950302169e+03 
       9.559541738802e-04       6.241135247633e+03 
       1.016451327896e-03       6.604979601642e+03 
       1.080235566679e-03       6.985095229387e+03 
       1.147295032481e-03       7.380878029418e+03 
       1.217586548027e-03       7.791520704290e+03 
       1.291037553900e-03       8.216010571328e+03 
       1.367549304454e-03       8.653208123547e+03 
       1.447001007320e-03       9.101879897904e+03 
       1.529254526318e-03       9.560691543656e+03 
       1.614159261505e-03       1.002826680191e+04 
       1.701556864783e-03       1.050322016305e+04 
       1.791285527817e-03       1.098418633823e+04 
       1.883183671017e-03       1.146984428645e+04 
       1.977092950936e-03       1.195893628522e+04 
       2.072860577144e-03       1.245028085963e+04 
       2.170340983134e-03       1.294278169450e+04 
       2.269396928909e-03       1.343543190577e+04 
       2.369900128522e-03       1.392731443709e+04 
       2.471731498347e-03       1.441760187646e+04 
       2.574781115768e-03       1.490555089256e+04 
       2.678947966961e-03       1.539049999662e+04 
       2.784139549538e-03       1.587186418901e+04 
       2.890271382790e-03       1.634912613945e+04 
       2.997266466349e-03       1.682183282330e+04 
       3.105054717765e-03       1.728958951351e+04 
       3.213572410998e-03       1.775205238131e+04 
       3.322761631025e-03       1.820892463376e+04 
       3.432569754536e-03       1.865995107220e+04 
       3.542948962695e-03       1.910491484224e+04 
       3.653855789110e-03       1.954363057771e+04 
       3.765250704030e-03       1.997594747872e+04 
       3.877097734399e-03       2.040173133980e+04 
       3.989364118445e-03       2.082088688568e+04 
       4.102019992897e-03       2.123332424687e+04 
       4.215038110584e-03       2.163898492815e+04 
